OBJECTID,SUBCOUNTY_NAME,DISTRICT_NAME,POP,Area,Karamoja,S_Yield_Ha,M_Yield_Ha,Crop_Area_Ha,S_Area_Ha,M_Area_Ha,S_Prod_Tot,M_Prod_Tot,Total_Production,Food_per_Person,Yield_Gap,Risk_Level
927,TAPAC,MOROTO,21999,622266516,Y,155.8699345,211.9656354,1111.664207,315.979223,793.2370943,49251.66081,168139.0047,217390.66551,9.881843061502796,-56.0957009,High Risk
928,NORTHERN DIVISION,MOROTO,7161,2738777,Y,131.9776979,241.5384268,0.322315707,0.130940756,0.191374951,17.28125956,46.22440465,63.50566420999999,0.008868267589722105,-109.56072889999999,High Risk
929,SOUTHERN DIVISION,MOROTO,3272,2121209,Y,114.7955689,52.36670024999978,0.171390461,0.171390461,0.0,19.67486547,0.0,19.67486547,0.006013100693765281,62.428868650000226,High Risk
978,LOREGAE,NAKAPIRIPIRIT,26644,928683431,Y,384.256293,1114.593607,5759.618906,4622.49187,864.1105686,1328652.2052874998,963132.1158,2291784.3210875,86.01502481187134,-730.337314,Lower Risk
979,NAKAPIRIPIRIT TOWN COUNCIL,NAKAPIRIPIRIT,1418,4673094,Y,482.4387931,1257.802716,29.14576036,1.339919159,27.79576662,646.428982,34961.59076,35608.019742,25.11143846403385,-775.3639228999999,High Risk
980,NAMALU,NAKAPIRIPIRIT,25905,553067364,Y,560.3130703,1325.254872,5793.507623,2197.572106,3293.74946,1231328.374,1937338.32621125,3168666.70021125,122.31872998306312,-764.9418016999999,Lower Risk
981,KAKOMONGOLE,NAKAPIRIPIRIT,15960,312709097,Y,398.9790051,1318.261936,3264.534948,2791.83741,457.3576054,1113884.513,602917.1224,1716801.6354,107.56902477443609,-919.2829309000001,Lower Risk
982,LOLACHAT,NAKAPIRIPIRIT,22801,642401705,Y,334.2843018,1225.930541,5079.779088,4364.693411,655.2122757,1328652.2052874998,803244.7393,2131896.9445875,93.50015107177316,-891.6462392,Lower Risk
983,LORENGEDWAT,NAKAPIRIPIRIT,9929,435714604,Y,188.6996119,795.7332802,2008.068169,1917.576345,80.41702686,361845.9121,63990.50457,425836.41667,42.8881475143519,-607.0336682999999,Lower Risk
984,NABILATUK,NAKAPIRIPIRIT,27534,499776866,Y,259.4541224,1066.204758,3276.653762,3156.538704,87.47454924,818976.9792,93265.78063,912242.7598299999,33.131501410256405,-806.7506356000001,High Risk
1023,IRIIRI,NAPAK,46979,1030623258,Y,229.2991573,873.4522415,5473.443674,1550.94457,3840.698081,355630.2829,1937338.32621125,2292968.60911125,48.80837414826305,-644.1530842,Lower Risk
1024,LOPEEI,NAPAK,18815,790782350,Y,108.1564114,1053.257168,3120.318045,2121.74732,955.2646167,229480.5759,1006139.305,1235619.8809,65.67206382673399,-945.1007566000001,Lower Risk
1025,LORENGECORA,NAPAK,2503,118997955,Y,184.0811969,841.8150105,1031.196285,672.1218865,358.5503345,123725.0013,301833.0535,425558.0548,170.0191988813424,-657.7338136,Lower Risk
1026,LOTOME,NAPAK,17834,125857565,Y,128.5555976,507.9070676,1849.966589,1770.358693,78.03589239,227589.5198,39634.98127,267224.50107,14.983991312661209,-379.35147,High Risk
1027,MATANY,NAPAK,29495,338252511,Y,130.0076868,497.3532824,2990.847377,2664.796115,288.329571,346443.9786,143401.6585,489845.63709999993,16.607751724021018,-367.3455956,High Risk
1028,NAPAK TOWN COUNCIL,NAPAK,8010,150906375,Y,175.828068,725.8139301,792.2492731,386.1580327,401.1734419,67897.42082,291177.2726,359074.69342,44.82830130087391,-549.9858621,Lower Risk
1029,NGOLERIET,NAPAK,20790,158887552,Y,134.0840894,528.6998225,1215.227445,1145.339875,68.12400511,153571.8541,36017.14941,189589.00351,9.119240188071188,-394.61573309999994,High Risk
1295,NYAKWAE,ABIM,16470,769609687,Y,329.7590298,779.2250311,792.8987889,342.8168384,331.1113402,113046.948,258010.2444,371057.1924,22.529277012750455,-449.4660013,High Risk
1313,LOKOPO,NAPAK,23200,1794470536,Y,120.8622322,748.8298623,6471.047334,5830.549392,553.5431231,704693.2144,414509.6206,1119202.835,48.241501508620686,-627.9676301,Lower Risk
1318,RUPA,MOROTO,41493,2069554899,Y,114.2709211,699.3343089,2217.290717,1989.119508,222.8388813,227298.5184,155838.875,383137.3934,9.233783852698046,-585.0633878,High Risk
1320,MORUITA,NAKAPIRIPIRIT,16588,839293722,Y,430.5573751,1248.955812,1161.390229,185.2834449,959.6711616,79775.15368,1198586.875,1278362.02868,77.06547074270557,-818.3984369,Lower Risk
